artifact_name,strategy,num_trades,mean_implementation_shortfall,mean_realized_pnl,std_implementation_shortfall,std_realized_pnl,limit_decision_rate,passive_fill_rate,cleanup_rate,market_entry_rate,cancel_rate,toxic_fill_rate_among_passive,toxic_fill_rate_overall,avg_favorable_prob,avg_toxic_prob,avg_utility,threshold,selection_split,artifact_base_net,artifact_meta
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.15,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-9732500.0,8706000.0,6722792.853419652,28654241.640633516,0.9648,0.9326,0.0322,0.0,0.0352,0.2253913789405962,0.2102,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.15,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.15,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.2,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.2,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-9536500.0,8477000.0,6891129.642517966,28280743.819778517,0.9312,0.8998,0.0314,0.0,0.0688,0.2222716159146477,0.2,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.2,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.2,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.25,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.25,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-8701500.0,7712500.0,7458645.838889821,27090032.184366032,0.8004,0.7725,0.0279,0.0,0.1996,0.20828478964401295,0.1609,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.25,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.25,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.3,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.3,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-6631500.0,5850500.0,8109297.611383367,24123104.065397788,0.5474,0.5261,0.0213,0.0,0.4526,0.18684660710891465,0.0983,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.3,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.3,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.35,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.35,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
